Isoforms,MotifLoc,JSD,PrimaryBef,Prob Shift,PrimaryAft,New/Runner-up
ENSMUST00000222714.2,3648,0.002237240318208933,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000029567.9,3456,0.002410072775091976,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000113447.8,4448,1.6071912796178367e-05,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000039769.13,4256,3.7872113125558826e-06,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000170374.8,3648,1.6553310248184356e-25,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000238584.2,4448,0.0017682293546386063,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000137526.2,3616,0.0032747869263403118,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000023024.8,3840,0.002367710752878338,cytosol,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000164107.3,3360,0.003230767440982163,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000207394.2,4160,1.0727975709765736e-16,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000114954.8,3840,0.0048946564784273505,extracellular,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000047903.10,3520,3.632902804077768e-17,cytoplasm,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000101141.9,4480,0.0015222885413095355,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000070968.14,3360,0.0004090602742508054,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000053336.8,3360,3.9351553482447343e-07,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000199019.5,4320,0.00011223072579014115,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000152623.2,4160,0.014752047136425972,extracellular,100.0% -> 100.0%,extracellular,73.6% -> 2.3%
ENSMUST00000130183.8,3712,2.1626295453871722e-13,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000167679.8,3488,0.0004507747507886961,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000022212.9,3456,5.321307210981891e-22,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000114155.8,3360,1.1174230418460433e-12,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000034700.15,3552,1.967081146858618e-07,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000044851.8,3424,2.5362063524880796e-06,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000085299.4,3392,-5.4104597468906945e-09,chromatin,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000160934.8,3424,0.0003130035038338974,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000159561.8,3328,5.881044489797205e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000170367.9,3808,1.0837228892057738e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000077355.12,4416,0.0006881803274154663,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000128262.2,4192,0.021229054778814316,extracellular,100.0% -> 99.7%,extracellular,98.0% -> 0.8%
ENSMUST00000074729.6,3360,0.0031917065498419106,chromatin,100.0% -> 99.9%,cytosol,100.0% -> 100.0%
ENSMUST00000175916.8,3712,0.0012510323140304536,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000084852.13,3456,1.6471987692057155e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000114012.8,4416,9.968719314201735e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000075372.13,4160,7.990983503296746e-18,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000028624.9,3392,2.414493405211715e-08,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000102822.9,992,9.072621397644004e-14,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000040481.4,3424,0.002459706098306924,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000001884.14,3904,0.0010528074635658413,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000187938.7,4544,0.0013979237410239875,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000045243.15,3360,0.0002667197841219604,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000072519.7,5056,1.2407740945796775e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000203933.4,3584,0.0021340895909816027,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000170728.8,4128,4.36588702884184e-19,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000072156.7,4288,0.002421691664494574,extracellular,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000032754.9,3392,0.0014532289933413267,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000227484.2,4256,0.0019104015664197505,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000034566.15,3456,0.0008770634594839066,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000032322.15,4128,4.091335767952842e-06,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000072427.7,4608,5.85323778068414e-06,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000024639.12,4448,0.0006138885073596612,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000180204.8,3872,2.8500679718490574e-06,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000187861.7,3488,0.00018100582383340225,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000195620.6,3488,0.0005647173384204507,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000034846.7,3328,1.487594314397711e-08,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000162037.9,3392,2.083205163216917e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000114953.8,4224,0.0004264790186425671,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000051574.13,3424,-5.313706474829871e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000028052.12,3456,0.0021553359692916274,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000123660.2,4128,3.1280738936600994e-10,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000031490.11,3360,0.00047585989523213357,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000204059.3,4480,0.01083427807316184,extracellular,100.0% -> 100.0%,extracellular,44.4% -> 1.1%
ENSMUST00000018143.16,3392,4.5707282403384397e-10,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000106169.8,3616,0.00016609305748715997,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000170356.2,3680,3.8411432967677683e-07,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000075994.11,3392,0.0005681159818777815,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000114608.3,4288,0.00019495654851198196,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000131668.4,4480,5.993497587120089e-09,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000228628.2,3872,0.00774768041446805,extracellular,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000227653.2,2720,0.010588808916509151,cytosol,100.0% -> 4.1%,extracellular,100.0% -> 100.0%
ENSMUST00000245018.1,4224,0.0190662476234138,extracellular,100.0% -> 100.0%,cytosol,0.0% -> 100.0%
ENSMUST00000147975.2,3424,7.377182782875025e-06,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000112223.8,3488,0.0023891888558864594,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000176551.3,3328,0.00017975378432311118,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000206879.2,3616,0.004054383956827223,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000227820.2,3584,7.032683200304291e-16,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000106731.4,4448,1.2794110215708088e-09,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000206012.2,4064,0.0005893288471270353,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000128373.2,3328,8.231276446037106e-15,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000081728.7,3392,0.0028237367514520884,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000207716.2,3392,2.515966368576983e-08,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000069817.15,4160,8.967868052423e-05,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000046257.14,4384,0.0007311794615816325,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000103202.10,3360,1.6707227904949932e-12,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000234461.2,3328,4.660449270943445e-08,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000054459.11,6336,1.0162943349292103e-12,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000023487.5,4576,7.679028968254897e-09,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000033908.14,3328,1.3344543311303085e-14,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000023812.10,3488,0.00023304409114643931,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000166241.2,3680,9.307830096949576e-10,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000222298.2,3424,7.670613058508025e-06,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000133266.2,3456,0.0070081534795463085,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000087723.5,3360,0.0003406239557079971,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000039370.14,4416,0.0012952671968378127,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000193204.2,3456,0.0003704342234414071,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000048957.11,4672,9.725660810033787e-08,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000129241.3,4768,0.0086884880438447,extracellular,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000038295.15,4288,8.53977184078758e-07,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000148900.8,3424,0.003318988950923085,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000117200.8,3616,0.0037149469135329127,extracellular,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000226801.2,3392,4.280759665658619e-34,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000231221.2,3904,1.820215419362503e-12,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000270309.1,3328,2.231549797379606e-12,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000085913.11,3808,0.0002946706663351506,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000103203.8,3328,1.688571683189366e-05,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000030356.10,3584,9.105133358389139e-08,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000095083.11,3456,2.3153070287662558e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000020830.14,3360,0.0015334468334913254,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000091789.11,4320,7.966107204993023e-06,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000114430.8,4224,-9.753467367090707e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000111625.2,3552,0.0018513454124331474,chromatin,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000108611.8,3936,1.085934039660504e-09,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000155249.2,3424,0.005703521077521145,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000224629.2,3424,3.6167413782095537e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000032931.9,3808,4.313263820986308e-18,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000221142.2,3360,6.159738941136084e-09,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000108775.2,3360,0.007044981699436903,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000029941.16,4384,9.100942222062258e-10,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000136390.8,3488,0.0008451125904684886,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000162618.8,3776,0.001873756293207407,cytosol,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000238570.2,3424,0.00014775394811294973,extracellular,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000028106.11,4256,1.483112964706379e-05,cytosol,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000219370.2,3328,5.110126173506075e-13,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000114015.8,3328,1.408377325873289e-08,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000076349.12,3360,5.8926328705410924e-08,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000118362.8,3456,1.5021909405277256e-07,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000113893.8,3424,-6.6953420585491585e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000137050.8,3392,2.3150774630664728e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000149709.2,4352,3.4713164609456726e-07,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000106601.8,3680,0.0016730695497244596,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000112354.3,3456,0.006004321854561567,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000170457.2,3392,0.0036498086992651224,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000227381.2,3616,0.008153373375535011,extracellular,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000110221.10,4256,2.2509663466507845e-08,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000168098.8,3360,-3.2493145951661973e-09,chromatin,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000113161.10,4608,5.898916400034595e-20,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000171565.8,3424,0.0057273287093266845,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000107248.8,3456,-1.3960749223329572e-10,cytosol,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000001455.13,3392,-8.508427962183873e-09,cytoplasm,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000102889.10,4320,0.00521346228197217,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000029061.12,3360,0.004570916760712862,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000187285.7,3616,0.0014391614822670817,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000204239.3,3424,0.0006280439411057159,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000220130.2,3392,5.622291837426019e-06,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000227029.2,4224,1.821051031652033e-13,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000004634.7,2528,0.00026096683723153546,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000008633.15,3360,3.900626870745327e-05,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000067538.6,3360,1.0871650246713216e-08,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000133937.9,3360,6.661338147750939e-16,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000223641.2,4096,1.6042832294029785e-14,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000199105.5,3424,3.727833770178387e-15,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000103074.2,4384,9.015208440876776e-10,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000222141.2,4064,2.8156136977486312e-08,chromatin,100.0% -> 99.4%,cytoplasm,100.0% -> 100.0%
ENSMUST00000106236.9,3520,1.083722155815849e-09,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000220032.2,3424,2.0008658339065732e-06,cytosol,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000054245.8,3424,3.563051541277673e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000074856.13,3360,2.2853435452645926e-13,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000212924.2,4160,1.4156850950702812e-21,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000238746.2,4352,0.01344865933060646,nucleus,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000102532.10,2880,0.0027962287422269583,cytosol,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000081688.13,4288,0.0005968015757389367,cytosol,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000169838.9,3424,0.000614931428572163,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000105082.9,3424,0.0018640763591974974,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000077946.12,992,1.7190774997288827e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000238672.2,3392,-2.1778329695187892e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000156896.8,3488,2.4745499160871987e-07,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000023053.12,3360,1.8952341866024236e-14,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000053686.9,3456,3.875750260254679e-16,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000186129.7,3584,1.657311372582626e-07,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000111784.9,3328,-1.0837064579050093e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000065976.12,3488,0.0013264071894809604,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000227347.3,3008,0.00047199749678839,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000109544.9,3680,0.003926647361367941,extracellular,100.0% -> 100.0%,extracellular,99.9% -> 98.1%
ENSMUST00000052069.12,3424,0.0005169317155377939,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000239373.2,3392,0.0006591194251086563,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000089655.12,3456,6.178634612297174e-05,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000226342.3,2624,8.508065002388321e-05,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000197768.2,4096,1.1196009957082243e-10,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000093165.12,3616,1.1235613328608451e-06,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000105276.8,3424,0.001323155069258064,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000049093.8,3552,0.0002830612502293661,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000089874.9,3872,9.878184381584276e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000124805.2,4192,5.110915708428365e-07,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000151423.9,4640,0.0011188744974788278,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000201185.4,3424,0.004004590911790729,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000176463.2,4160,0.019269129261374474,extracellular,100.0% -> 99.8%,extracellular,0.2% -> 99.8%
ENSMUST00000032918.4,3552,5.6046088502625935e-05,chromatin,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000053969.7,2688,1.4028749407805907e-14,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000201320.2,4064,8.499716486198849e-10,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000125064.8,3424,0.00013228330499259755,cytosol,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000210364.2,4416,0.0008272892155218869,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000160405.8,4416,1.7998652346307153e-08,cytosol,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000046687.16,4448,1.9658314837078805e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000208232.2,3616,0.0075870053842663765,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000161624.2,3424,0.0010986557172145694,cytosol,100.0% -> 100.0%,extracellular,100.0% -> 100.0%
ENSMUST00000219366.2,4128,7.159579867962998e-14,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000005532.9,3584,0.0011077140225097537,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000148259.2,3584,0.002864349167793989,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000092907.12,3328,2.1169233477280613e-08,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000131912.8,4384,0.019472582265734673,nucleus,100.0% -> 99.8%,cytosol,100.0% -> 99.9%
ENSMUST00000003038.12,3584,1.3755859527009306e-06,cytosol,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
